# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 5
flt:plate_Thigh_C 639.073198
flt:plate_Tlow_C 510.081009
flt:plate_Q_kW 0.788596
flt:plate_Tpeak_C 1246.778501
flt:cool_Thigh_C 73.329768
flt:cool_Tlow_C 19.897662
flt:air_psig 80.000000
flt:water_gph 0.800000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.684000
flt:oxygen_scfh 10.840187
flt:fuel_scfh 9.199125
flt:flow_scfh 20.039313
flt:ratio_fto 0.848613

## End Configuration ##
#: Mon Jul 18 12:39:13 2016
8.377481	0.208747
-10.024652	-0.109029
-9.818082	-0.102080
-9.632360	-0.094816
-9.429265	-0.090709
-9.224591	-0.078391
-9.025288	-0.080602
-8.826931	-0.072706
-8.625416	-0.070179
-8.428006	-0.071442
-8.229965	-0.061967
-8.027819	-0.059756
-7.825988	-0.057545
-7.625736	-0.061335
-7.432749	-0.085024
-7.228707	-0.073653
-7.029718	-0.063230
-6.832625	-0.058808
-6.626372	-0.045858
-6.424541	-0.052807
-6.220815	-0.053123
-6.024985	-0.059124
-5.827892	-0.052175
-5.627640	-0.048069
-5.425809	-0.057545
-5.229032	-0.052491
-5.023410	-0.049648
-4.823790	-0.055334
-4.626065	-0.033540
-4.428340	-0.041752
-4.217981	-0.037330
-4.024362	-0.033540
-3.825690	-0.039541
-3.622279	-0.032592
-3.429292	-0.032592
-3.228409	-0.030381
-3.030684	-0.040173
-2.829169	-0.042068
-2.621652	-0.032276
-2.428665	-0.037330
-2.229676	-0.037330
-2.022476	-0.023748
-1.825699	-0.024064
-1.620709	-0.032908
-1.423932	-0.024696
-1.220521	-0.016484
-1.025639	-0.014589
-0.825071	-0.020274
-0.623556	-0.010482
-0.424568	-0.014273
-0.223684	-0.016168
-0.019958	-0.005113
0.176210	-0.017115
0.377120	-0.004165
0.571711	-0.007640
0.778938	0.012577
0.977320	0.031214
1.178230	0.044482
1.376928	0.083021
1.568044	0.094709
1.776535	0.112715
1.972074	0.111136
2.176774	0.120613
2.380211	0.141146
2.577961	0.150623
2.783293	0.152202
2.977885	0.153150
3.173424	0.143357
3.376544	0.151886
3.583456	0.158204
3.779942	0.167365
3.981799	0.169892
4.173863	0.154729
4.374457	0.161679
4.575998	0.168629
4.771221	0.172735
4.983187	0.181265
5.181253	0.181265
5.374897	0.185055
5.574859	0.176526
5.778611	0.183476
5.972570	0.199587
6.178534	0.198955
6.382918	0.200218
6.581932	0.181265
6.772101	0.180001
6.981540	0.204009
7.180238	0.192005
7.378620	0.210011
7.584899	0.209063
7.782334	0.187267
7.978189	0.190426
8.168989	0.205273
8.379375	0.216645
8.579021	0.216645
8.777088	0.207800
8.982736	0.211275
9.172588	0.203061
9.375710	0.218224
9.578830	0.242548
9.769946	0.233703
9.977805	0.223279
9.777528	0.212854
9.574091	0.211591
9.374762	0.224542
9.172904	0.226753
8.981156	0.222015
8.777719	0.195480
8.576179	0.197691
8.380323	0.208747
8.172780	0.214434
7.975346	0.222963
7.779491	0.216329
7.577634	0.196112
7.379568	0.195480
7.179606	0.203061
6.980592	0.208432
6.775892	0.208747
6.582248	0.196743
6.378496	0.187267
6.174428	0.176210
5.982363	0.188214
5.780822	0.192953
5.576754	0.191689
5.375844	0.187582
5.180621	0.166418
4.984766	0.174947
4.773748	0.175578
4.575682	0.184424
