# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 5
flt:plate_Thigh_C 22.220620
flt:plate_Tlow_C 23.235984
flt:plate_Q_kW -0.006207
flt:plate_Tpeak_C 40.637320
flt:cool_Thigh_C 21.369652
flt:cool_Tlow_C 21.244090
flt:air_psig 0.000000
flt:water_gph 0.000000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 10.058937
flt:fuel_scfh 5.003813
flt:flow_scfh 15.062750
flt:ratio_fto 0.497449

## End Configuration ##
#: Tue Jul 12 14:28:46 2016
8.978312	0.826322
-9.647521	-3.813371
-9.644362	-3.796315
-9.612461	-3.753359
-9.432108	-3.730302
-9.227750	-3.693662
-9.022760	-3.613120
-8.830405	-3.590694
-8.629206	-3.494042
-8.432113	-3.417606
-8.229018	-3.408762
-8.031293	-3.328535
-7.829146	-3.302003
-7.624156	-3.248307
-7.429590	-3.150077
-7.232181	-3.102067
-7.030666	-3.044581
-6.825992	-3.017734
-6.630794	-2.973514
-6.429595	-2.887918
-6.228079	-2.793477
-6.026880	-2.748626
-5.830734	-2.702195
-5.634273	-2.674716
-5.437811	-2.624811
-5.227136	-2.502575
-5.025621	-2.435930
-4.828212	-2.377496
-4.630171	-2.363915
-4.428024	-2.324749
-4.232826	-2.231256
-4.023415	-2.136184
-3.821899	-2.061958
-3.627649	-2.043006
-3.437820	-2.001945
-3.226829	-1.936248
-3.024367	-1.830121
-2.826642	-1.743892
-2.620704	-1.687986
-2.425506	-1.653874
-2.227150	-1.605548
-2.028477	-1.495315
-1.824435	-1.365814
-1.625447	-1.240104
-1.420773	-1.168089
-1.224311	-1.052487
-1.022165	-0.905930
-0.831073	-0.728104
-0.629873	-0.578389
-0.427410	-0.469103
-0.227475	-0.365819
-0.023432	-0.249584
0.179053	-0.132718
0.368275	-0.039541
0.565709	0.053011
0.774200	0.152518
0.976057	0.245707
1.172228	0.312045
1.379455	0.365431
1.571519	0.390071
1.774640	0.448828
1.973970	0.531276
2.175827	0.578029
2.371050	0.584663
2.578909	0.562234
2.782029	0.564130
2.970303	0.602669
3.170896	0.657319
3.370858	0.662373
3.577769	0.635206
3.778047	0.609618
3.978640	0.639313
4.171652	0.691751
4.373825	0.715759
4.576630	0.707546
4.770274	0.662689
4.976553	0.650053
5.182833	0.703123
5.368263	0.753667
5.576122	0.761248
5.773557	0.718286
5.972570	0.685433
6.180429	0.717970
6.379759	0.765987
6.580037	0.801051
6.776840	0.783045
6.973958	0.722077
7.181817	0.729343
7.385570	0.776727
7.578897	0.837063
7.783282	0.838011
7.973451	0.801367
8.169621	0.747349
8.375585	0.778306
8.576179	0.847488
8.778352	0.871180
8.979260	0.850015
9.172588	0.792522
9.379184	0.786204
9.577250	0.837379
9.775949	0.877497
9.978753	0.887922
9.779107	0.828850
9.572512	0.782729
9.377289	0.797576
9.176695	0.836115
8.974523	0.855385
8.779299	0.829481
8.578390	0.786520
8.382851	0.763459
8.175940	0.780202
7.974082	0.818425
7.778543	0.825375
7.577002	0.777043
7.380199	0.761248
7.176763	0.758089
6.978065	0.773568
6.775260	0.796312
6.577510	0.774200
6.379759	0.740083
6.176007	0.720498
5.979520	0.723657
5.773872	0.732186
5.578018	0.747033
5.373317	0.705651
5.180305	0.698069
4.977185	0.677536
4.777855	0.688908
4.574103	0.695542
