# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal sine
aofrequency 5.000000
aoamplitude 0.250000
aooffset 1.250000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:plate_Thigh_C 408.079283
flt:plate_Tlow_C 193.946596
flt:plate_Q_kW 1.309104
flt:plate_Tpeak_C 1395.392736
flt:cool_Thigh_C 75.365219
flt:cool_Tlow_C 21.457884
flt:air_psig 70.000000
flt:water_gph 2.200000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.500000
flt:oxygen_scfh 12.832375
flt:fuel_scfh 7.031156
flt:flow_scfh 19.863531
flt:ratio_fto 0.547923

## End Configuration ##
#: Thu Jul 21 18:44:33 2016
-6.907166	-2.363283
-6.287460	-2.268842
-6.226184	-2.201250
-6.205970	-2.212936
-6.156065	-2.236941
-6.114372	-2.187352
-6.079944	-2.188300
-6.042989	-2.183562
-6.002244	-2.168717
-5.959919	-2.174086
-5.927386	-2.160504
-5.886009	-2.145343
-5.844000	-2.120075
-5.820311	-2.114390
-5.782724	-2.120391
-5.740084	-2.117864
-5.703129	-2.107757
-5.673123	-2.088490
-5.645012	-2.088174
-5.599213	-2.061010
-5.570470	-2.070802
-5.540780	-2.097018
-5.503825	-2.060379
-5.477293	-2.038900
-5.449182	-2.022792
-5.423282	-2.031952
-5.382853	-2.040164
-5.365165	-2.027530
-5.341475	-2.031636
-5.298520	-1.976361
-5.290623	-1.956462
-5.265671	-1.998787
-5.233138	-1.994049
-5.223346	-1.999419
-5.194919	-1.971623
-5.182285	-1.950461
-5.160807	-1.947618
-5.147225	-1.958989
-5.132696	-1.999734
-5.107111	-1.988048
-5.088792	-1.933721
-5.087213	-1.928667
-5.061313	-1.931194
-5.068893	-1.962779
-5.048047	-1.956778
-5.049942	-1.956462
-5.038571	-1.938459
-5.030359	-1.872761
-5.038571	-1.919191
-5.018988	-1.959621
-5.018672	-1.952040
-5.025305	-1.959621
-5.023094	-1.921087
-5.027832	-1.910663
-5.025621	-1.920771
-5.041730	-1.959621
-5.038571	-1.972887
-5.038887	-1.942881
-5.059418	-1.930562
-5.061944	-1.914454
-5.073947	-1.946987
-5.082159	-1.971939
-5.096056	-1.970044
-5.106796	-1.972887
-5.121641	-1.928351
-5.150068	-1.940038
-5.157017	-1.967201
-5.184496	-1.983942
-5.200604	-2.003840
-5.209448	-1.958673
-5.252720	-1.980467
-5.256511	-1.982362
-5.285254	-2.003525
-5.317471	-2.039216
-5.331684	-2.007947
-5.369903	-2.013948
-5.381589	-2.009210
-5.423913	-2.019001
-5.451393	-2.055957
-5.471608	-2.045849
-5.515196	-2.050271
-5.539516	-2.054693
-5.568259	-2.051535
-5.606478	-2.075540
-5.635852	-2.066696
-5.679124	-2.120075
-5.696812	-2.084699
-5.750507	-2.101124
-5.785251	-2.130814
-5.810835	-2.117864
-5.859161	-2.140290
-5.885061	-2.143132
-5.923595	-2.157030
-5.957708	-2.167453
-6.006350	-2.164295
-6.042673	-2.185773
-6.075206	-2.193038
-6.120057	-2.185773
-6.156696	-2.217042
-6.197125	-2.224939
-6.237239	-2.227782
-6.275142	-2.223675
-6.318414	-2.253366
-6.344630	-2.242311
-6.394219	-2.262210
-6.439386	-2.308956
-6.465286	-2.287478
-6.509506	-2.282108
-6.547724	-2.298849
-6.591312	-2.310535
-6.624477	-2.337383
-6.659537	-2.321906
-6.703125	-2.350965
-6.721760	-2.326644
-6.767875	-2.309588
-6.816201	-2.383182
